Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Senior
48,Male,Master's Degree,Director of Marketing,19,170000,USA,Hispanic,0
33,Male,Bachelor's Degree,Product Development Manager,7,100000,USA,Hispanic,1
51,Female,Master's Degree,Director of Human Resources,21,190000,USA,Hispanic,0
34,Female,Bachelor's Degree,Marketing Analyst,6,70000,USA,Asian,0
36,Male,Bachelor's Degree,Operations Manager,8,95000,USA,White,1
41,Female,Bachelor's Degree,Project Coordinator,11,95000,USA,African American,1
30,Female,Bachelor's Degree,Marketing Coordinator,2,40000,USA,White,0
28,Male,Bachelor's Degree,Business Development Associate,2,40000,USA,Asian,0
29,Male,Bachelor's Degree,Business Operations Analyst,1,350,USA,Hispanic,0
37,Female,Bachelor's Degree,Financial Manager,10,120000,USA,African American,1
29,Female,Bachelor's Degree,Sales Representative,1,40000,USA,African American,0
31,Male,Bachelor's Degree,Operations Analyst,3,50000,USA,Hispanic,0
49,Male,PhD,Director of Operations,21,180000,USA,Asian,0
35,Male,Bachelor's Degree,Business Development Manager,7,90000,USA,Hispanic,1
48,Female,Master's Degree,Director of HR,20,180000,USA,Hispanic,0
32,Male,Bachelor's Degree,Financial Advisor,4,65000,USA,Hispanic,0
43,Female,PhD,Data Scientist,15,150000,USA,African American,1
36,Male,Bachelor's Degree,Business Development Manager,8,110000,USA,Asian,1
40,Male,Bachelor's Degree,Financial Analyst,12,130000,USA,White,1
29,Female,Bachelor's Degree,Project Manager,2,40000,USA,Asian,0
32,Male,Bachelor's Degree,Product Manager,7,170000,USA,Asian,0
30,Female,Bachelor's Degree,Data Analyst,5,145000,USA,African American,0
27,Male,PhD,Data Scientist,2,115000,USA,African American,0
29,Female,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
26,Female,Master's Degree,Product Manager,2,120000,USA,White,0
27,Male,Bachelor's Degree,Data Analyst,2,110000,USA,African American,0
29,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
26,Female,Master's Degree,Product Manager,2,120000,USA,White,0
32,Male,Bachelor's Degree,Product Manager,7,170000,USA,African American,0
33,Male,PhD,Data Scientist,8,190000,USA,Asian,0
30,Female,PhD,Data Scientist,5,180000,USA,African American,0
33,Male,PhD,Data Scientist,8,190000,USA,Asian,0
28,Male,Master's Degree,Product Manager,3,130000,USA,Hispanic,0
30,Female,Bachelor's Degree,Data Analyst,5,145000,USA,White,0
29,Female,Bachelor's Degree,Software Engineer,4,140000,USA,African American,0
28,Male,Master's Degree,Product Manager,3,130000,USA,Asian,0
29,Female,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
31,Female,Bachelor's Degree,Software Engineer,6,155000,USA,Hispanic,0
30,Female,PhD,Data Scientist,5,180000,USA,Asian,0
29,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
31,Female,Bachelor's Degree,Software Engineer,6,155000,USA,Asian,0
30,Female,Bachelor's Degree,Data Analyst,5,145000,USA,White,0
29,Female,Bachelor's Degree,Software Engineer,4,140000,USA,White,0
31,Female,Bachelor's Degree,Software Engineer,6,155000,USA,White,0
30,Female,Bachelor's Degree,Data Analyst,5,145000,USA,Hispanic,0
33,Female,Master's Degree,Product Manager,11,198000,USA,African American,0
25,Male,Bachelor's Degree,Data Analyst,2,110000,USA,Hispanic,0
28,Male,Bachelor's Degree,Software Engineer,5,160000,USA,African American,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,White,0
30,Male,PhD,Data Scientist,7,185000,USA,African American,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,White,0
30,Male,Bachelor's Degree,Data Analyst,5,160000,USA,African American,0
33,Female,Master's Degree,Product Manager,11,198000,USA,White,0
24,Male,Bachelor's Degree,Data Analyst,1,90000,USA,African American,0
30,Female,PhD,Data Scientist,7,185000,USA,Asian,0
30,Female,PhD,Data Scientist,7,185000,USA,Asian,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,African American,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,Hispanic,0
30,Female,PhD,Data Scientist,7,185000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,White,0
28,Male,Bachelor's Degree,Software Engineer,5,160000,USA,African American,0
29,Male,Bachelor's Degree,Software Engineer,6,170000,USA,Hispanic,0
34,Female,Master's Degree,Product Manager,12,196000,USA,Asian,0
27,Female,Bachelor's Degree,Product Manager,4,150000,USA,African American,0
27,Female,Bachelor's Degree,Product Manager,4,150000,USA,Asian,0
33,Female,Master's Degree,Product Manager,11,198000,USA,African American,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,Hispanic,0
30,Female,PhD,Data Scientist,7,185000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,African American,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Asian,0
23,Male,Bachelor's Degree,Data Analyst,1,90000,USA,White,0
31,Male,Master's Degree,Data Scientist,7,180000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Asian,0
30,Female,PhD,Data Scientist,7,185000,USA,African American,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,African American,0
25,Male,Bachelor's Degree,Data Analyst,2,115000,USA,Asian,0
27,Female,Bachelor's Degree,Product Manager,4,150000,USA,Asian,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,Asian,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,Hispanic,0
31,Female,PhD,Data Scientist,9,195000,USA,Hispanic,0
26,Male,Bachelor's Degree,Data Analyst,3,130000,USA,Asian,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,Hispanic,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,White,0
34,Female,Master's Degree,Product Manager,12,196000,USA,Asian,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Asian,0
26,Male,Bachelor's Degree,Data Analyst,3,130000,USA,Asian,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,Asian,0
33,Female,Master's Degree,Product Manager,11,198000,USA,White,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,White,0
28,Female,Bachelor's Degree,Software Engineer,5,160000,USA,White,0
33,Female,Master's Degree,Product Manager,11,198000,USA,White,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,Asian,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,Hispanic,0
28,Female,Bachelor's Degree,Software Engineer,5,160000,USA,African American,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,African American,0
26,Male,Bachelor's Degree,Data Analyst,3,130000,USA,White,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,African American,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,Asian,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Asian,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,African American,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,Hispanic,0
26,Male,Bachelor's Degree,Data Analyst,3,130000,USA,African American,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,White,0
33,Male,Master's Degree,Product Manager,11,198000,USA,African American,0
25,Male,Bachelor's Degree,Data Analyst,2,115000,USA,White,0
26,Male,Bachelor's Degree,Data Analyst,3,130000,USA,Asian,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Hispanic,0
25,Male,Bachelor's Degree,Data Analyst,2,110000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,African American,0
25,Female,Bachelor's Degree,Data Analyst,2,110000,USA,Asian,0
28,Female,Bachelor's Degree,Software Engineer,5,160000,USA,Asian,0
24,Male,Bachelor's Degree,Data Analyst,1,90000,USA,Hispanic,0
33,Female,Master's Degree,Product Manager,11,198000,USA,African American,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,White,0
28,Female,Bachelor's Degree,Software Engineer,5,160000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,White,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,White,0
33,Female,Master's Degree,Product Manager,11,198000,USA,Hispanic,0
31,Male,Bachelor's Degree,Data Analyst,9,195000,USA,African American,0
28,Female,Bachelor's Degree,Software Engineer,5,160000,USA,Asian,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,Hispanic,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,Hispanic,0
30,Female,PhD,Data Scientist,7,185000,USA,Asian,0
29,Female,Master's Degree,Data Scientist,6,180000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,190000,USA,White,0
27,Male,Bachelor's Degree,Software Engineer,4,140000,USA,Hispanic,0
30,Female,PhD,Data Scientist,7,185000,USA,White,0
32,Male,Bachelor's Degree,Data Analyst,5,135000,USA,Hispanic,0
35,Female,Bachelor's Degree,Product Manager,8,165000,USA,Asian,0
43,Male,Master's Degree,Data Scientist,15,198000,USA,White,0
29,Female,Bachelor's Degree,Software Engineer,4,150000,USA,Hispanic,0
42,Female,Bachelor's Degree,Software Engineer,13,197000,USA,White,0
33,Male,Bachelor's Degree,Data Analyst,7,142000,USA,White,0
29,Female,Master's Degree,Data Analyst,6,150000,USA,Asian,0
30,Female,PhD,Data Scientist,7,170000,USA,Asian,0
33,Male,Master's Degree,Product Manager,11,195000,USA,White,0
25,Male,Bachelor's Degree,Data Analyst,2,100000,USA,Asian,0
29,Female,Master's Degree,Data Scientist,6,150000,USA,White,0
24,Male,Bachelor's Degree,Data Analyst,2,95000,USA,African American,0
26,Male,Bachelor's Degree,Data Analyst,3,120000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,180000,USA,White,0
27,Male,Bachelor's Degree,Software Engineer,4,160000,USA,White,0
34,Female,Master's Degree,Product Manager,12,190000,USA,White,0
33,Female,Master's Degree,Product Manager,11,195000,USA,White,0
25,Female,Bachelor's Degree,Data Analyst,2,100000,USA,White,0
25,Female,Bachelor's Degree,Data Analyst,2,100000,USA,African American,0
25,Female,Bachelor's Degree,Data Analyst,2,100000,USA,White,0
31,Male,Bachelor's Degree,Data Analyst,9,190000,USA,Hispanic,0
29,Female,Master's Degree,Data Scientist,6,150000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,180000,USA,Asian,0
31,Male,Bachelor's Degree,Data Analyst,9,190000,USA,White,0
27,Male,Bachelor's Degree,Software Engineer,4,160000,USA,Asian,0
31,Male,Bachelor's Degree,Data Analyst,9,190000,USA,Asian,0
28,Female,Bachelor's Degree,Software Engineer,5,150000,USA,Hispanic,0
32,Male,Bachelor's Degree,Software Engineer,8,180000,USA,Asian,0
24,Male,Bachelor's Degree,Data Analyst,2,95000,USA,White,0
32,Male,Bachelor's Degree,Software Engineer,8,180000,USA,Hispanic,0
33,Female,Master's Degree,Product Manager,11,195000,USA,African American,0
30,Female,PhD,Data Scientist,7,170000,USA,African American,0
27,Male,Bachelor's Degree,Software Engineer,4,160000,USA,Asian,0
26,Female,Bachelor's Degree,Data Analyst,3,100000,USA,Asian,0
28,Female,Master's Degree,Data Scientist,6,150000,USA,Asian,0
37,Male,PhD,Product Manager,14,195000,USA,Hispanic,0
32,Male,Bachelor's Degree,Software Engineer,10,190000,USA,Hispanic,0
30,Male,Bachelor's Degree,Product Manager,8,185000,USA,Hispanic,0
27,Female,Bachelor's Degree,Data Analyst,5,125000,USA,Asian,0
30,Female,Bachelor's Degree,Software Engineer,8,180000,USA,Hispanic,0
29,Female,Bachelor's Degree,Data Analyst,7,130000,USA,Asian,0
25,Female,Bachelor's Degree,Data Analyst,2,90000,USA,Asian,0
26,Female,Bachelor's Degree,Data Analyst,3,100000,USA,White,0
32,Female,Bachelor's Degree,Data Scientist,9,185000,USA,Hispanic,0
27,Male,Bachelor's Degree,Software Engineer,5,150000,USA,Asian,0
34,Male,Bachelor's Degree,Software Engineer,12,195000,USA,African American,0
31,Male,Bachelor's Degree,Software Engineer,9,180000,USA,Asian,0
33,Male,Master's Degree,Data Scientist,10,195000,USA,Asian,0
28,Male,Bachelor's Degree,Software Engineer,4,160000,USA,Hispanic,0
27,Female,Bachelor's Degree,Data Analyst,5,125000,USA,Hispanic,0
35,Female,Bachelor's Degree,Product Manager,12,190000,USA,Asian,0
37,Male,PhD,Product Manager,14,195000,USA,African American,0
28,Male,Bachelor's Degree,Software Engineer,7,175000,USA,Asian,1
30,Female,Bachelor's Degree,Front end Developer,2,75000,USA,Asian,0
27,Male,Bachelor's Degree,Project Engineer,4,115000,USA,White,1
47,Male,PhD,Software Engineer Manager,15,180000,USA,Asian,0
55,Male,PhD,Software Engineer Manager,17,190000,USA,African American,0
24,Male,Bachelor's Degree,Front end Developer,1,60000,USA,Asian,0
43,Female,PhD,Project Engineer,13,180000,USA,African American,1
27,Female,Master's Degree,Full Stack Engineer,3,95000,USA,African American,0
41,Male,PhD,Software Engineer Manager,12,175000,USA,Hispanic,0
61,Male,PhD,Software Engineer Manager,20,200000,USA,Hispanic,0
34,Male,Master's Degree,Full Stack Engineer,6,125000,USA,Hispanic,0
27,Female,Master's Degree,Full Stack Engineer,3,100000,USA,Asian,0
30,Female,Master's Degree,Back end Developer,6,130000,USA,Asian,0
49,Male,PhD,Software Engineer Manager,15,185000,USA,White,0
32,Female,Master's Degree,Full Stack Engineer,5,120000,USA,White,0
50,Female,PhD,Software Engineer Manager,16,190000,USA,Asian,0
44,Male,Master's Degree,Project Engineer,11,170000,USA,Asian,1
23,Female,Bachelor's Degree,Front end Developer,1,55000,USA,African American,0
43,Male,PhD,Software Engineer Manager,13,180000,USA,African American,0
30,Male,Bachelor's Degree,Back end Developer,4,95000,USA,White,0
28,Female,Master's Degree,Back end Developer,3,90000,USA,White,0
43,Male,PhD,Software Engineer,12,170000,USA,Asian,1
42,Male,PhD,Software Engineer,14,170000,USA,African American,1
27,Female,Master's Degree,Back end Developer,2,70000,USA,Hispanic,0
27,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,0
42,Male,PhD,Software Engineer,14,170000,USA,Asian,1
24,Male,Bachelor's Degree,Front end Developer,1,60000,USA,Asian,0
28,Male,Bachelor's Degree,Front end Developer,2,70000,USA,White,0
54,Male,PhD,Software Engineer Manager,16,190000,USA,Hispanic,0
30,Male,Bachelor's Degree,Back end Developer,4,95000,USA,African American,0
27,Female,Master's Degree,Full Stack Engineer,3,100000,USA,Hispanic,0
54,Male,PhD,Software Engineer Manager,18,195000,USA,White,0
31,Male,Master's Degree,Project Engineer,6,125000,USA,Hispanic,1
24,Female,Bachelor's Degree,Back end Developer,1,60000,USA,Hispanic,0
24,Female,Bachelor's Degree,Front end Developer,1,55000,USA,White,0
37,Male,Master's Degree,Software Engineer,9,145000,USA,African American,1
37,Male,Master's Degree,Software Engineer,10,155000,USA,White,1
36,Male,Master's Degree,Full Stack Engineer,8,140000,USA,Hispanic,0
29,Male,Bachelor's Degree,Front end Developer,3,80000,USA,Asian,0
28,Female,Master's Degree,Back end Developer,3,90000,USA,Hispanic,0
54,Male,PhD,Software Engineer Manager,16,190000,USA,Asian,0
45,Male,PhD,Project Engineer,14,185000,USA,Hispanic,1
51,Male,PhD,Software Engineer Manager,16,190000,USA,Hispanic,0
44,Female,Master's Degree,Project Engineer,12,170000,USA,White,1
54,Male,PhD,Software Engineer Manager,17,195000,USA,African American,0
49,Male,PhD,Software Engineer Manager,15,185000,USA,Asian,0
31,Male,Master's Degree,Full Stack Engineer,7,140000,USA,Asian,0
25,Male,Bachelor's Degree,Front end Developer,1,55000,USA,White,0
33,Male,Master's Degree,Full Stack Engineer,6,130000,USA,African American,0
42,Male,PhD,Software Engineer,14,170000,USA,Asian,1
24,Male,Bachelor's Degree,Front end Developer,1,60000,USA,Hispanic,0
49,Male,PhD,Software Engineer Manager,15,185000,USA,African American,0
38,Male,Master's Degree,Software Engineer,10,155000,USA,Asian,1
27,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,0
32,Male,Master's Degree,Back end Developer,6,130000,USA,Asian,0
54,Male,PhD,Software Engineer Manager,17,195000,USA,Asian,0
27,Female,Master's Degree,Back end Developer,2,70000,USA,Asian,0
31,Male,Master's Degree,Project Engineer,6,125000,USA,Asian,1
32,Male,Master's Degree,Full Stack Engineer,7,135000,USA,White,0
23,Male,Bachelor's Degree,Front end Developer,1,55000,USA,African American,0
38,Male,Master's Degree,Software Engineer,10,155000,USA,Hispanic,1
27,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,0
32,Male,Master's Degree,Back end Developer,6,130000,USA,White,0
27,Female,Master's Degree,Full Stack Engineer,3,100000,USA,White,0
40,Female,PhD,Software Engineer,12,160000,USA,White,1
27,Male,Bachelor's Degree,Front end Developer,3,80000,USA,White,0
28,Female,Bachelor's Degree,Front end Developer,3,80000,USA,African American,0
31,Male,Master's Degree,Full Stack Engineer,7,140000,USA,Asian,0
49,Male,PhD,Software Engineer Manager,15,185000,USA,African American,0
28,Male,Bachelor's Degree,Front end Developer,2,70000,USA,African American,0
48,Male,PhD,Project Engineer,16,190000,USA,White,1
43,Male,PhD,Project Engineer,13,185000,USA,Hispanic,1
28,Male,Bachelor's Degree,Front end Developer,2,70000,USA,Hispanic,0
31,Male,Master's Degree,Project Engineer,6,125000,USA,Asian,1
27,Female,Master's Degree,Back end Developer,2,70000,USA,African American,0
31,Male,Master's Degree,Project Engineer,7,135000,USA,African American,1
43,Male,PhD,Project Engineer,13,185000,USA,White,1
48,Male,PhD,Project Engineer,16,190000,USA,White,1
40,Male,PhD,Software Engineer,12,160000,USA,Hispanic,1
27,Male,Bachelor's Degree,Front end Developer,3,80000,USA,African American,0
24,Male,Bachelor's Degree,Back end Developer,1,55000,USA,Hispanic,0
44,Male,Master's Degree,Project Engineer,11,170000,USA,African American,1
56,Male,PhD,Software Engineer Manager,17,195000,USA,White,0
54,Male,PhD,Software Engineer Manager,17,195000,USA,African American,0
29,Female,Master's Degree,Back end Developer,3,90000,USA,Asian,0
40,Female,PhD,Software Engineer,12,160000,USA,White,1
47,Male,PhD,Project Engineer,16,190000,USA,African American,1
30,Male,Master's Degree,Full Stack Engineer,5,105000,USA,White,0
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Hispanic,0
43,Male,PhD,Project Engineer,13,185000,USA,African American,1
40,Female,PhD,Software Engineer,12,160000,USA,Hispanic,1
33,Male,Bachelor's Degree,Front end Developer,6,110000,USA,African American,0
47,Male,PhD,Project Engineer,16,190000,USA,Hispanic,1
30,Male,Master's Degree,Full Stack Engineer,5,105000,USA,African American,0
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,White,0
26,Female,Master's Degree,Front end Developer,1,55000,USA,Asian,0
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,White,0
33,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Asian,0
55,Male,PhD,Software Engineer Manager,18,210000,USA,Hispanic,0
47,Male,PhD,Project Engineer,16,190000,USA,African American,1
32,Male,Bachelor's Degree,Front end Developer,6,110000,USA,Asian,0
55,Male,PhD,Software Engineer Manager,18,210000,USA,White,0
47,Male,PhD,Project Engineer,16,190000,USA,African American,1
50,Male,PhD,Software Engineer Manager,17,195000,USA,White,0
27,Male,Bachelor's Degree,Back end Developer,3,85000,USA,African American,0
46,Male,PhD,Project Engineer,14,180000,USA,African American,1
35,Male,Bachelor's Degree,Back end Developer,8,140000,USA,African American,0
29,Female,Master's Degree,Back end Developer,3,90000,USA,Hispanic,0
41,Male,PhD,Project Engineer,13,185000,USA,Asian,1
36,Male,Master's Degree,Back end Developer,8,140000,USA,African American,0
29,Male,Bachelor's Degree,Back end Developer,4,95000,USA,Asian,0
28,Female,Bachelor's Degree,Front end Developer,2,65000,USA,African American,0
39,Female,Master's Degree,Software Engineer Manager,12,160000,USA,African American,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,African American,0
46,Male,PhD,Project Engineer,15,180000,USA,Hispanic,1
49,Female,PhD,Project Engineer,17,195000,USA,White,1
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,Hispanic,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,African American,0
46,Male,PhD,Project Engineer,15,180000,USA,Hispanic,1
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,White,0
45,Male,PhD,Software Engineer Manager,16,185000,USA,Asian,0
45,Male,PhD,Software Engineer Manager,16,185000,USA,African American,0
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,Asian,0
46,Male,PhD,Project Engineer,15,180000,USA,African American,1
33,Female,Bachelor's Degree,Full Stack Engineer,6,115000,USA,Asian,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Asian,0
25,Female,Bachelor's Degree,Front end Developer,1,55000,USA,African American,0
49,Female,PhD,Project Engineer,17,195000,USA,African American,1
28,Female,Bachelor's Degree,Front end Developer,2,65000,USA,African American,0
46,Male,PhD,Project Engineer,15,180000,USA,African American,1
42,Male,PhD,Software Engineer Manager,14,190000,USA,White,0
40,Female,Master's Degree,Software Engineer Manager,12,160000,USA,Hispanic,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,White,0
49,Male,PhD,Project Engineer,17,195000,USA,Asian,1
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Hispanic,0
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,USA,Hispanic,0
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,White,0
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,White,0
49,Male,PhD,Project Engineer,17,195000,USA,Asian,1
36,Male,Bachelor's Degree,Software Engineer Manager,8,135000,USA,Asian,0
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,White,0
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,African American,0
39,Female,Master's Degree,Software Engineer Manager,12,160000,USA,Asian,0
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,African American,0
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,0
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,White,0
34,Male,Master's Degree,Back end Developer,8,140000,USA,Hispanic,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Hispanic,0
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,Asian,0
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,0
43,Female,PhD,Project Engineer,14,190000,USA,African American,1
34,Male,Master's Degree,Back end Developer,8,140000,USA,White,0
33,Female,Bachelor's Degree,Full Stack Engineer,7,130000,USA,Hispanic,0
50,Male,PhD,Project Engineer,19,200000,USA,White,1
46,Male,PhD,Software Engineer Manager,16,185000,USA,White,0
50,Male,PhD,Project Engineer,19,200000,USA,Hispanic,1
49,Male,PhD,Project Engineer,17,195000,USA,African American,1
34,Male,Master's Degree,Back end Developer,8,140000,USA,Asian,0
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,Hispanic,0
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,White,0
27,Male,Bachelor's Degree,Front end Developer,2,65000,USA,Hispanic,0
43,Female,PhD,Project Engineer,14,190000,USA,African American,1
45,Male,PhD,Project Engineer,16,185000,USA,White,1
29,Female,Bachelor's Degree,Front end Developer,4,90000,USA,Asian,0
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,0
43,Female,PhD,Project Engineer,14,190000,USA,Asian,1
42,Male,Master's Degree,Software Engineer Manager,13,170000,USA,White,0
39,Female,Master's Degree,Software Engineer Manager,12,160000,USA,African American,0
27,Male,Bachelor's Degree,Back end Developer,3,80000,USA,Hispanic,0
32,Female,Master's Degree,Full Stack Engineer,6,115000,USA,African American,0
30,Female,Master's Degree,Front end Developer,5,105000,USA,African American,0
30,Male,Bachelor's Degree,Back end Developer,5,100000,USA,Asian,0
